carrier,node,time_operation,none
carbon,AT,0,0.0
carbon,AT,1,0.0
carbon,AT,2,0.0
carbon,AT,3,0.0
carbon,AT,4,0.0
carbon,AT,5,0.0
carbon,AT,6,0.0
carbon,AT,7,0.0
carbon,AT,8,0.0
carbon,AT,9,0.0
carbon,AT,10,0.0
carbon,AT,11,0.0
carbon,AT,12,0.0
carbon,AT,13,0.0
carbon,AT,14,0.0
carbon,BE,0,0.0
carbon,BE,1,0.0
carbon,BE,2,0.0
carbon,BE,3,0.0
carbon,BE,4,0.0
carbon,BE,5,0.0
carbon,BE,6,0.0
carbon,BE,7,0.0
carbon,BE,8,0.0
carbon,BE,9,0.0
carbon,BE,10,0.0
carbon,BE,11,0.0
carbon,BE,12,0.0
carbon,BE,13,0.0
carbon,BE,14,0.0
carbon,BG,0,0.0
carbon,BG,1,0.0
carbon,BG,2,0.0
carbon,BG,3,0.0
carbon,BG,4,0.0
carbon,BG,5,0.0
carbon,BG,6,0.0
carbon,BG,7,0.0
carbon,BG,8,0.0
carbon,BG,9,0.0
carbon,BG,10,0.0
carbon,BG,11,0.0
carbon,BG,12,0.0
carbon,BG,13,0.0
carbon,BG,14,0.0
carbon,CH,0,0.0
carbon,CH,1,0.0
carbon,CH,2,0.0
carbon,CH,3,0.0
carbon,CH,4,0.0
carbon,CH,5,0.0
carbon,CH,6,0.0
carbon,CH,7,0.0
carbon,CH,8,0.0
carbon,CH,9,0.0
carbon,CH,10,0.0
carbon,CH,11,0.0
carbon,CH,12,0.0
carbon,CH,13,0.0
carbon,CH,14,0.0
carbon,CZ,0,0.0
carbon,CZ,1,0.0
carbon,CZ,2,0.0
carbon,CZ,3,0.0
carbon,CZ,4,0.0
carbon,CZ,5,0.0
carbon,CZ,6,0.0
carbon,CZ,7,0.0
carbon,CZ,8,0.0
carbon,CZ,9,0.0
carbon,CZ,10,0.0
carbon,CZ,11,0.0
carbon,CZ,12,0.0
carbon,CZ,13,0.0
carbon,CZ,14,0.0
carbon,DE,0,0.0
carbon,DE,1,0.0
carbon,DE,2,0.0
carbon,DE,3,0.0
carbon,DE,4,0.0
carbon,DE,5,0.0
carbon,DE,6,0.0
carbon,DE,7,0.0
carbon,DE,8,0.0
carbon,DE,9,0.0
carbon,DE,10,0.0
carbon,DE,11,0.0
carbon,DE,12,0.0
carbon,DE,13,0.0
carbon,DE,14,0.0
carbon,DK,0,0.0
carbon,DK,1,0.0
carbon,DK,2,0.0
carbon,DK,3,0.0
carbon,DK,4,0.0
carbon,DK,5,0.0
carbon,DK,6,0.0
carbon,DK,7,0.0
carbon,DK,8,0.0
carbon,DK,9,0.0
carbon,DK,10,0.0
carbon,DK,11,0.0
carbon,DK,12,0.0
carbon,DK,13,0.0
carbon,DK,14,0.0
carbon,EE,0,0.0
carbon,EE,1,0.0
carbon,EE,2,0.0
carbon,EE,3,0.0
carbon,EE,4,0.0
carbon,EE,5,0.0
carbon,EE,6,0.0
carbon,EE,7,0.0
carbon,EE,8,0.0
carbon,EE,9,0.0
carbon,EE,10,0.0
carbon,EE,11,0.0
carbon,EE,12,0.0
carbon,EE,13,0.0
carbon,EE,14,0.0
carbon,EL,0,0.0
carbon,EL,1,0.0
carbon,EL,2,0.0
carbon,EL,3,0.0
carbon,EL,4,0.0
carbon,EL,5,0.0
carbon,EL,6,0.0
carbon,EL,7,0.0
carbon,EL,8,0.0
carbon,EL,9,0.0
carbon,EL,10,0.0
carbon,EL,11,0.0
carbon,EL,12,0.0
carbon,EL,13,0.0
carbon,EL,14,0.0
carbon,ES,0,0.0
carbon,ES,1,0.0
carbon,ES,2,0.0
carbon,ES,3,0.0
carbon,ES,4,0.0
carbon,ES,5,0.0
carbon,ES,6,0.0
carbon,ES,7,0.0
carbon,ES,8,0.0
carbon,ES,9,0.0
carbon,ES,10,0.0
carbon,ES,11,0.0
carbon,ES,12,0.0
carbon,ES,13,0.0
carbon,ES,14,0.0
carbon,FI,0,0.0
carbon,FI,1,0.0
carbon,FI,2,0.0
carbon,FI,3,0.0
carbon,FI,4,0.0
carbon,FI,5,0.0
carbon,FI,6,0.0
carbon,FI,7,0.0
carbon,FI,8,0.0
carbon,FI,9,0.0
carbon,FI,10,0.0
carbon,FI,11,0.0
carbon,FI,12,0.0
carbon,FI,13,0.0
carbon,FI,14,0.0
carbon,FR,0,0.0
carbon,FR,1,0.0
carbon,FR,2,0.0
carbon,FR,3,0.0
carbon,FR,4,0.0
carbon,FR,5,0.0
carbon,FR,6,0.0
carbon,FR,7,0.0
carbon,FR,8,0.0
carbon,FR,9,0.0
carbon,FR,10,0.0
carbon,FR,11,0.0
carbon,FR,12,0.0
carbon,FR,13,0.0
carbon,FR,14,0.0
carbon,HR,0,0.0
carbon,HR,1,0.0
carbon,HR,2,0.0
carbon,HR,3,0.0
carbon,HR,4,0.0
carbon,HR,5,0.0
carbon,HR,6,0.0
carbon,HR,7,0.0
carbon,HR,8,0.0
carbon,HR,9,0.0
carbon,HR,10,0.0
carbon,HR,11,0.0
carbon,HR,12,0.0
carbon,HR,13,0.0
carbon,HR,14,0.0
carbon,HU,0,0.0
carbon,HU,1,0.0
carbon,HU,2,0.0
carbon,HU,3,0.0
carbon,HU,4,0.0
carbon,HU,5,0.0
carbon,HU,6,0.0
carbon,HU,7,0.0
carbon,HU,8,0.0
carbon,HU,9,0.0
carbon,HU,10,0.0
carbon,HU,11,0.0
carbon,HU,12,0.0
carbon,HU,13,0.0
carbon,HU,14,0.0
carbon,IE,0,0.0
carbon,IE,1,0.0
carbon,IE,2,0.0
carbon,IE,3,0.0
carbon,IE,4,0.0
carbon,IE,5,0.0
carbon,IE,6,0.0
carbon,IE,7,0.0
carbon,IE,8,0.0
carbon,IE,9,0.0
carbon,IE,10,0.0
carbon,IE,11,0.0
carbon,IE,12,0.0
carbon,IE,13,0.0
carbon,IE,14,0.0
carbon,IT,0,0.0
carbon,IT,1,0.0
carbon,IT,2,0.0
carbon,IT,3,0.0
carbon,IT,4,0.0
carbon,IT,5,0.0
carbon,IT,6,0.0
carbon,IT,7,0.0
carbon,IT,8,0.0
carbon,IT,9,0.0
carbon,IT,10,0.0
carbon,IT,11,0.0
carbon,IT,12,0.0
carbon,IT,13,0.0
carbon,IT,14,0.0
carbon,LT,0,0.0
carbon,LT,1,0.0
carbon,LT,2,0.0
carbon,LT,3,0.0
carbon,LT,4,0.0
carbon,LT,5,0.0
carbon,LT,6,0.0
carbon,LT,7,0.0
carbon,LT,8,0.0
carbon,LT,9,0.0
carbon,LT,10,0.0
carbon,LT,11,0.0
carbon,LT,12,0.0
carbon,LT,13,0.0
carbon,LT,14,0.0
carbon,LU,0,0.0
carbon,LU,1,0.0
carbon,LU,2,0.0
carbon,LU,3,0.0
carbon,LU,4,0.0
carbon,LU,5,0.0
carbon,LU,6,0.0
carbon,LU,7,0.0
carbon,LU,8,0.0
carbon,LU,9,0.0
carbon,LU,10,0.0
carbon,LU,11,0.0
carbon,LU,12,0.0
carbon,LU,13,0.0
carbon,LU,14,0.0
carbon,LV,0,0.0
carbon,LV,1,0.0
carbon,LV,2,0.0
carbon,LV,3,0.0
carbon,LV,4,0.0
carbon,LV,5,0.0
carbon,LV,6,0.0
carbon,LV,7,0.0
carbon,LV,8,0.0
carbon,LV,9,0.0
carbon,LV,10,0.0
carbon,LV,11,0.0
carbon,LV,12,0.0
carbon,LV,13,0.0
carbon,LV,14,0.0
carbon,NL,0,0.0
carbon,NL,1,0.0
carbon,NL,2,0.0
carbon,NL,3,0.0
carbon,NL,4,0.0
carbon,NL,5,0.0
carbon,NL,6,0.0
carbon,NL,7,0.0
carbon,NL,8,0.0
carbon,NL,9,0.0
carbon,NL,10,0.0
carbon,NL,11,0.0
carbon,NL,12,0.0
carbon,NL,13,0.0
carbon,NL,14,0.0
carbon,NO,0,0.0
carbon,NO,1,0.0
carbon,NO,2,0.0
carbon,NO,3,0.0
carbon,NO,4,0.0
carbon,NO,5,0.0
carbon,NO,6,0.0
carbon,NO,7,0.0
carbon,NO,8,0.0
carbon,NO,9,0.0
carbon,NO,10,0.0
carbon,NO,11,0.0
carbon,NO,12,0.0
carbon,NO,13,0.0
carbon,NO,14,0.0
carbon,PL,0,0.0
carbon,PL,1,0.0
carbon,PL,2,0.0
carbon,PL,3,0.0
carbon,PL,4,0.0
carbon,PL,5,0.0
carbon,PL,6,0.0
carbon,PL,7,0.0
carbon,PL,8,0.0
carbon,PL,9,0.0
carbon,PL,10,0.0
carbon,PL,11,0.0
carbon,PL,12,0.0
carbon,PL,13,0.0
carbon,PL,14,0.0
carbon,PT,0,0.0
carbon,PT,1,0.0
carbon,PT,2,0.0
carbon,PT,3,0.0
carbon,PT,4,0.0
carbon,PT,5,0.0
carbon,PT,6,0.0
carbon,PT,7,0.0
carbon,PT,8,0.0
carbon,PT,9,0.0
carbon,PT,10,0.0
carbon,PT,11,0.0
carbon,PT,12,0.0
carbon,PT,13,0.0
carbon,PT,14,0.0
carbon,RO,0,0.0
carbon,RO,1,0.0
carbon,RO,2,0.0
carbon,RO,3,0.0
carbon,RO,4,0.0
carbon,RO,5,0.0
carbon,RO,6,0.0
carbon,RO,7,0.0
carbon,RO,8,0.0
carbon,RO,9,0.0
carbon,RO,10,0.0
carbon,RO,11,0.0
carbon,RO,12,0.0
carbon,RO,13,0.0
carbon,RO,14,0.0
carbon,SE,0,0.0
carbon,SE,1,0.0
carbon,SE,2,0.0
carbon,SE,3,0.0
carbon,SE,4,0.0
carbon,SE,5,0.0
carbon,SE,6,0.0
carbon,SE,7,0.0
carbon,SE,8,0.0
carbon,SE,9,0.0
carbon,SE,10,0.0
carbon,SE,11,0.0
carbon,SE,12,0.0
carbon,SE,13,0.0
carbon,SE,14,0.0
carbon,SI,0,0.0
carbon,SI,1,0.0
carbon,SI,2,0.0
carbon,SI,3,0.0
carbon,SI,4,0.0
carbon,SI,5,0.0
carbon,SI,6,0.0
carbon,SI,7,0.0
carbon,SI,8,0.0
carbon,SI,9,0.0
carbon,SI,10,0.0
carbon,SI,11,0.0
carbon,SI,12,0.0
carbon,SI,13,0.0
carbon,SI,14,0.0
carbon,SK,0,0.0
carbon,SK,1,0.0
carbon,SK,2,0.0
carbon,SK,3,0.0
carbon,SK,4,0.0
carbon,SK,5,0.0
carbon,SK,6,0.0
carbon,SK,7,0.0
carbon,SK,8,0.0
carbon,SK,9,0.0
carbon,SK,10,0.0
carbon,SK,11,0.0
carbon,SK,12,0.0
carbon,SK,13,0.0
carbon,SK,14,0.0
carbon,UK,0,0.0
carbon,UK,1,0.0
carbon,UK,2,0.0
carbon,UK,3,0.0
carbon,UK,4,0.0
carbon,UK,5,0.0
carbon,UK,6,0.0
carbon,UK,7,0.0
carbon,UK,8,0.0
carbon,UK,9,0.0
carbon,UK,10,0.0
carbon,UK,11,0.0
carbon,UK,12,0.0
carbon,UK,13,0.0
carbon,UK,14,0.0
electricity,AT,0,0.0
electricity,AT,1,0.0
electricity,AT,2,0.0
electricity,AT,3,0.0
electricity,AT,4,0.0
electricity,AT,5,0.0
electricity,AT,6,0.0
electricity,AT,7,0.0
electricity,AT,8,0.0
electricity,AT,9,0.0
electricity,AT,10,0.0
electricity,AT,11,0.0
electricity,AT,12,0.0
electricity,AT,13,0.0
electricity,AT,14,0.0
electricity,BE,0,0.0
electricity,BE,1,0.0
electricity,BE,2,0.0
electricity,BE,3,0.0
electricity,BE,4,0.0
electricity,BE,5,0.0
electricity,BE,6,0.0
electricity,BE,7,0.0
electricity,BE,8,0.0
electricity,BE,9,0.0
electricity,BE,10,0.0
electricity,BE,11,0.0
electricity,BE,12,0.0
electricity,BE,13,0.0
electricity,BE,14,0.0
electricity,BG,0,0.0
electricity,BG,1,0.0
electricity,BG,2,0.0
electricity,BG,3,0.0
electricity,BG,4,0.0
electricity,BG,5,0.0
electricity,BG,6,0.0
electricity,BG,7,0.0
electricity,BG,8,0.0
electricity,BG,9,0.0
electricity,BG,10,0.0
electricity,BG,11,0.0
electricity,BG,12,0.0
electricity,BG,13,0.0
electricity,BG,14,0.0
electricity,CH,0,0.0
electricity,CH,1,0.0
electricity,CH,2,0.0
electricity,CH,3,0.0
electricity,CH,4,0.0
electricity,CH,5,0.0
electricity,CH,6,0.0
electricity,CH,7,0.0
electricity,CH,8,0.0
electricity,CH,9,0.0
electricity,CH,10,0.0
